x,T,Flux
0,1,0.0101441
1,0.989856,0.0101438
2,0.979713,0.010143
3,0.969571,0.0101415
4,0.95943,0.0101396
5,0.949292,0.010137
6,0.939156,0.010134
7,0.929024,0.0101303
8,0.918895,0.0101263
9,0.908772,0.0101216
10,0.898652,0.0101166
11,0.888539,0.010111
12,0.87843,0.0101051
13,0.868329,0.0100986
14,0.858233,0.0100919
15,0.848146,0.0100847
16,0.838064,0.0100772
17,0.827992,0.0100694
18,0.817925,0.0100614
19,0.807869,0.010053
20,0.797819,0.0100445
21,0.78778,0.0100358
22,0.777748,0.010027
23,0.767726,0.0100181
24,0.757712,0.010009
25,0.747708,0.01
26,0.737712,0.00999095
27,0.727726,0.00998195
28,0.717748,0.009973
29,0.70778,0.00996418
30,0.697819,0.00995547
31,0.687869,0.00994697
32,0.677925,0.00993864
33,0.667992,0.00993061
34,0.658064,0.00992278
35,0.648146,0.00991533
36,0.638233,0.00990814
37,0.628329,0.00990139
38,0.61843,0.00989494
39,0.608539,0.00988901
40,0.598652,0.00988341
41,0.588772,0.00987838
42,0.578895,0.00987371
43,0.569024,0.00986966
44,0.559156,0.009866
45,0.549292,0.009863
46,0.53943,0.00986041
47,0.529571,0.00985851
48,0.519713,0.00985702
49,0.509856,0.00985624
50,0.5,0.00985588
51,0.490144,0.00985624
52,0.480287,0.00985702
53,0.470429,0.00985851
54,0.46057,0.00986041
55,0.450708,0.009863
56,0.440844,0.009866
57,0.430976,0.00986966
58,0.421105,0.00987371
59,0.411228,0.00987838
60,0.401348,0.00988341
61,0.391461,0.00988901
62,0.38157,0.00989494
63,0.371671,0.00990139
64,0.361767,0.00990814
65,0.351854,0.00991533
66,0.341936,0.00992278
67,0.332008,0.00993061
68,0.322075,0.00993864
69,0.312131,0.00994697
70,0.302181,0.00995547
71,0.29222,0.00996418
72,0.282252,0.009973
73,0.272274,0.00998195
74,0.262288,0.00999095
75,0.252292,0.01
76,0.242288,0.010009
77,0.232274,0.0100181
78,0.222252,0.010027
79,0.21222,0.0100358
80,0.202181,0.0100445
81,0.192131,0.010053
82,0.182075,0.0100614
83,0.172008,0.0100694
84,0.161936,0.0100772
85,0.151854,0.0100847
86,0.141767,0.0100919
87,0.131671,0.0100986
88,0.12157,0.0101051
89,0.111461,0.010111
90,0.101348,0.0101166
91,0.0912279,0.0101216
92,0.0811046,0.0101263
93,0.0709757,0.0101303
94,0.060844,0.010134
95,0.0507082,0.010137
96,0.0405702,0.0101396
97,0.0304294,0.0101415
98,0.0202874,0.010143
99,0.0101439,0.0101438
100,0,0.0101441
